game_id,move_number,player,row,col,board_state,timestamp,winner
20250319_235518,1,1,2,0,000000100,2025-03-19 23:55:18,
20250319_235518,2,2,1,0,000200100,2025-03-19 23:55:19,
20250319_235518,3,1,0,1,010200100,2025-03-19 23:55:19,
20250319_235518,4,2,1,2,010202100,2025-03-19 23:55:19,
20250319_235518,5,1,2,1,010202110,2025-03-19 23:55:20,
20250319_235518,6,2,0,2,012202110,2025-03-19 23:55:20,
20250319_235518,7,1,0,0,112202110,2025-03-19 23:55:20,
20250319_235518,8,2,2,2,112202112,2025-03-19 23:55:21,2
20250319_235521,1,1,2,2,000000001,2025-03-19 23:55:21,
20250319_235521,2,2,2,1,000000021,2025-03-19 23:55:22,
20250319_235521,3,1,2,0,000000121,2025-03-19 23:55:22,
20250319_235521,4,2,1,0,000200121,2025-03-19 23:55:22,
20250319_235521,5,1,1,2,000201121,2025-03-19 23:55:23,
20250319_235521,6,2,0,1,020201121,2025-03-19 23:55:23,
20250319_235521,7,1,1,1,020211121,2025-03-19 23:55:23,
20250319_235521,8,2,0,0,220211121,2025-03-19 23:55:23,
20250319_235521,9,1,0,2,221211121,2025-03-19 23:55:23,1
20250319_235524,1,1,2,0,000000100,2025-03-19 23:55:24,
20250319_235524,2,2,2,2,000000102,2025-03-19 23:55:24,
20250319_235524,3,1,1,1,000010102,2025-03-19 23:55:24,
20250319_235524,4,2,1,0,000210102,2025-03-19 23:55:24,
20250319_235524,5,1,0,0,100210102,2025-03-19 23:55:24,
20250319_235524,6,2,0,2,102210102,2025-03-19 23:55:24,
20250319_235524,7,1,0,1,112210102,2025-03-19 23:55:24,
20250319_235524,8,2,1,2,112212102,2025-03-19 23:55:24,2
20250319_235524,1,1,1,0,000100000,2025-03-19 23:55:24,
20250319_235524,2,2,1,2,000102000,2025-03-19 23:55:24,
20250319_235524,3,1,0,2,001102000,2025-03-19 23:55:24,
20250319_235524,4,2,2,2,001102002,2025-03-19 23:55:25,
20250319_235524,5,1,0,1,011102002,2025-03-19 23:55:25,
20250319_235524,6,2,0,0,211102002,2025-03-19 23:55:25,
20250319_235524,7,1,2,0,211102102,2025-03-19 23:55:25,
20250319_235524,8,2,2,1,211102122,2025-03-19 23:55:25,
20250319_235524,9,1,1,1,211112122,2025-03-19 23:55:25,1
20250319_235525,1,1,1,1,000010000,2025-03-19 23:55:25,
20250319_235525,2,2,0,0,200010000,2025-03-19 23:55:25,
